# Captured cache-invalidation notification payloads
2026-08-09T10:40:12.8685097+00:00 connection=capture-2 sequence=22 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":22,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8742193+00:00 connection=capture-4 sequence=24 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":24,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8785410+00:00 connection=capture-2 sequence=23 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":23,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8813002+00:00 connection=capture-1 sequence=22 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":22,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8854976+00:00 connection=capture-2 sequence=24 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":24,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8897030+00:00 connection=capture-3 sequence=22 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":22,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8951881+00:00 connection=capture-1 sequence=23 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":23,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9204266+00:00 connection=capture-1 sequence=24 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":24,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9285474+00:00 connection=capture-1 sequence=25 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":25,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9337082+00:00 connection=capture-1 sequence=26 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":26,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9165729+00:00 connection=capture-3 sequence=23 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":23,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9431941+00:00 connection=capture-2 sequence=25 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":25,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9551223+00:00 connection=capture-2 sequence=26 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":26,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9599347+00:00 connection=capture-1 sequence=27 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":27,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9649780+00:00 connection=capture-4 sequence=25 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":25,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9626490+00:00 connection=capture-3 sequence=24 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":24,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9721698+00:00 connection=capture-2 sequence=27 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":27,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9741915+00:00 connection=capture-4 sequence=26 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":26,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9802373+00:00 connection=capture-4 sequence=27 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":27,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9847851+00:00 connection=capture-4 sequence=28 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":28}}
2026-08-09T10:40:12.9861832+00:00 connection=capture-3 sequence=25 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":25,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9922519+00:00 connection=capture-2 sequence=28 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":28,"Reason":"Document:Put"}}
2026-08-09T10:40:12.9948528+00:00 connection=capture-3 sequence=26 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":26,"Reason":"Document:Put"}}
2026-08-09T10:40:13.0047119+00:00 connection=capture-1 sequence=28 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":28,"Reason":"Document:Put"}}
2026-08-09T10:40:13.0080489+00:00 connection=capture-3 sequence=27 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":27,"Reason":"Document:Put"}}
2026-08-09T10:40:13.0146013+00:00 connection=capture-3 sequence=28 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":28,"Reason":"Document:Put"}}
